local_date,ws,wd,tc,rh,pres,rr,sun,cc
2018-09-01 00:00:00-03:00,0.56,315.0,17.1,68,924.9204346028882,0.0,0.0,
2018-09-01 01:00:00-03:00,0.56,315.0,16.5,70,924.9518330815164,0.0,0.0,
2018-09-01 02:00:00-03:00,0.28,315.0,16.0,83,924.8499091917237,0.0,0.0,
2018-09-01 03:00:00-03:00,0.0,315.0,15.9,87,924.4813405650889,0.0,0.0,
2018-09-01 04:00:00-03:00,0.28,315.0,15.9,88,924.5127390437171,0.0,0.0,
2018-09-01 05:00:00-03:00,0.83,337.5,16.6,78,924.6774598907664,0.0,0.0,
2018-09-01 06:00:00-03:00,1.11,337.5,17.0,74,925.3754702115,0.0,0.4,
2018-09-01 07:00:00-03:00,1.67,45.0,21.1,61,925.8462249882633,0.0,1.0,0.0
2018-09-01 08:00:00-03:00,2.22,22.5,23.3,49,926.2561835917895,0.0,1.0,0.0
2018-09-01 09:00:00-03:00,1.94,0.0,26.6,41,926.1347303272106,0.0,1.0,0.0
2018-09-01 10:00:00-03:00,2.5,337.5,28.4,36,925.9221871141975,0.0,1.0,0.0
2018-09-01 11:00:00-03:00,2.5,337.5,29.5,29,924.9737742884212,0.0,1.0,0.0
2018-09-01 12:00:00-03:00,2.5,0.0,30.4,27,924.6020922968883,0.0,1.0,0.0
2018-09-01 13:00:00-03:00,1.67,315.0,30.9,25,923.9649999203291,0.0,0.9,0.0
2018-09-01 14:00:00-03:00,1.67,22.5,31.5,23,923.4037636784211,0.0,1.0,0.0
2018-09-01 15:00:00-03:00,2.22,135.0,23.6,64,923.8510410260528,0.0,0.3,2.0
2018-09-01 16:00:00-03:00,2.22,135.0,18.9,86,924.9696907575989,0.0,0.0,5.0
2018-09-01 17:00:00-03:00,2.5,157.5,17.1,91,925.6526888520395,0.0,0.0,10.0
2018-09-01 18:00:00-03:00,1.11,180.0,17.2,89,925.8765709191713,0.0,0.0,10.0
2018-09-01 19:00:00-03:00,0.83,180.0,17.1,88,926.3055018290133,0.0,0.0,6.0
2018-09-01 20:00:00-03:00,0.83,135.0,17.1,89,926.4687268048028,0.0,0.0,6.0
2018-09-01 21:00:00-03:00,0.83,135.0,16.9,91,926.5712251483026,0.0,0.0,10.0
2018-09-01 22:00:00-03:00,0.83,135.0,16.9,90,926.5066687509868,0.0,0.0,10.0
2018-09-01 23:00:00-03:00,0.56,112.5,15.8,92,926.1422855458421,0.0,0.0,10.0
2018-09-02 00:00:00-03:00,0.0,112.5,15.2,93,925.6370631047763,0.0,0.0,0.0
2018-09-02 01:00:00-03:00,1.11,112.5,15.0,93,924.9985182952895,0.0,0.0,
2018-09-02 02:00:00-03:00,0.56,90.0,14.9,94,924.3599734858028,0.0,0.0,
2018-09-02 03:00:00-03:00,1.94,45.0,16.3,82,923.9880734131581,0.0,0.0,
2018-09-02 04:00:00-03:00,1.94,45.0,16.2,82,924.0161404457766,0.0,0.0,
2018-09-02 05:00:00-03:00,1.67,45.0,15.3,86,924.0442074783949,0.0,0.0,
2018-09-02 06:00:00-03:00,1.67,45.0,16.1,86,924.4722416162765,0.0,0.3,
2018-09-02 07:00:00-03:00,1.67,22.5,20.1,67,924.7949921921054,0.0,1.0,0.0
2018-09-02 08:00:00-03:00,2.22,22.5,23.1,55,925.1176775732962,0.0,1.0,1.0
2018-09-02 09:00:00-03:00,1.39,22.5,25.0,49,925.3074839096054,0.0,1.0,2.0
2018-09-02 10:00:00-03:00,1.39,315.0,27.2,41,924.8598849350922,0.0,1.0,7.0
2018-09-02 11:00:00-03:00,2.22,337.5,28.7,36,924.0747188166513,0.0,1.0,10.0
2018-09-02 12:00:00-03:00,2.78,292.5,29.8,30,922.9636677668291,0.0,1.0,5.0
2018-09-02 13:00:00-03:00,3.06,315.0,29.5,29,922.4326905296449,0.0,0.1,4.0
2018-09-02 14:00:00-03:00,2.22,292.5,30.2,29,921.8714716729737,0.0,0.4,7.0
2018-09-02 15:00:00-03:00,1.39,112.5,27.6,42,922.2730780034211,0.0,0.4,6.0
2018-09-02 16:00:00-03:00,2.22,157.5,19.2,84,922.9168346052237,0.1,0.7,2.0
2018-09-02 17:00:00-03:00,2.5,157.5,17.4,94,923.3792023384342,0.0,0.0,7.0
