,MB,ME,RMSE,NMB,NME,R,Om,Mm,Ostd,Mstd,aqs
o3,13.662234977134148,26.50814814481707,31.66158236576513,23.070495636841024,44.76252363828253,0.7057917149437962,59.21951219512195,71.9728608913649,39.525900103581755,22.6284357190305,Americana
o3,2.556599582701068,23.500834092564492,28.0701880656244,4.000092891569125,36.769746829221965,0.6336946077007349,63.91350531107739,65.41819266713092,34.7256304045734,14.328037775835249,Araraquara
nox,-14.409087874785275,14.659991306079755,20.480988156972646,-73.55719773222674,74.83803892549328,0.31957448969159796,19.588957055214724,5.181454413842618,15.292631504318605,3.3505718573247987,Araraquara
tc,1.839368386331941,2.1755856889818688,2.968568387705324,7.985970540682924,9.445722428440806,0.9017796252724696,23.03249651324965,24.87263671030641,5.382564552418439,4.692786283451509,Araraquara
ws,1.6299931713082287,2.0098248229456064,2.594797037687276,78.38397745325287,96.64952367887322,0.09993416715604714,2.079497907949791,3.7072264582562675,0.8966952198957489,1.9019167955235188,Araraquara
rh,-5.197054710599723,9.944230883542538,13.857056463707218,-9.142470748074,17.493531437999902,0.8310445783179853,56.84518828451883,51.62062342130919,22.78273064191843,21.090888413975193,Araraquara
co,-0.47327572231392934,0.47327572231392934,0.5299178925331062,-74.3211304058113,74.3211304058113,0.016170487073198608,0.6367983367983368,0.16978356683704737,0.2334464135454387,0.05781152070870796,Campinas-Centro
o3,9.34283760233918,21.152920114035087,26.901816484598545,15.481614710015021,35.051594936770194,0.7122693456287663,60.34795321637427,68.41381900139277,35.56630718305032,21.98184841845935,Campinas-Taquaral
nox,-6.506077313592105,10.989281261995615,17.067790023530367,-36.9983112944546,62.493085992725305,0.25521964585710244,17.584795321637426,10.938678676311978,15.94656532419647,7.44823343784441,Campinas-Taquaral
tc,1.3653702542016788,1.8510946267507007,2.521495846253967,6.313953118523316,8.560113753238344,0.9119672681512417,21.62464985994398,22.99177776810585,5.169167161924369,4.650991933925669,Campinas-Taquaral
ws,1.8489387767605594,2.1638369122744057,2.630641832035098,108.74321176143783,127.26358413064078,0.3741211720049721,1.7002797202797204,3.5386640311055717,0.8589453047155674,2.018992019393492,Campinas-Taquaral
o3,25.513915011644833,26.37529709898108,31.165957620555915,55.46854307911392,57.34123135126583,0.723378798619851,45.99708879184862,70.2198154805014,24.90290164745767,23.552484857939266,Campinas-V.União
nox,-14.56020127678894,16.824234419129546,25.208792935279543,-58.12911597602278,67.16788148501858,0.26292496088172185,25.048034934497817,10.376240300548746,21.250875984248346,7.411011241576223,Campinas-V.União
tc,1.866654300557876,2.2405333047419806,2.834810084510527,8.642699334228778,10.373777134536157,0.9139535967826998,21.598047419804747,23.465784782033428,5.24317290425306,4.613760460448246,Campinas-V.União
ws,0.7518450244986048,1.378468709587866,1.7258277089496779,27.70443429774386,50.79463792653407,0.5378039939407155,2.7138075313807533,3.464823169589833,1.2383723466911494,1.8166388929584991,Campinas-V.União
rh,-8.24690616317993,11.325339959553695,14.726099417620809,-12.709364253627085,17.4535599161741,0.8122744670356569,64.8884239888424,56.62423377158775,20.504430435512877,19.10093525597155,Campinas-V.União
o3,19.09714998950996,26.907160954747322,34.27986830158978,44.41830433891363,62.58370829367765,0.5876486473844694,42.99387442572741,59.770648582465185,29.97785418539649,33.2172806969578,Capão Redondo
nox,-7.14921981174189,19.359454954647394,28.608673493362698,-22.579165426188247,61.14238301414318,0.3673712347341679,31.662905500705218,24.847238308837046,27.3177689532965,21.534249230646406,Capão Redondo
tc,1.7858459964936877,2.0839675280504912,2.7875038367350946,9.63568954935866,11.244230561126036,0.8830745144591149,18.533660589060307,20.34277067339833,4.42714306415335,4.424941011203355,Capão Redondo
ws,1.2912737206353446,1.475836125704067,1.8397504200135035,72.16477212831165,82.47931945657628,0.45500821256269,1.7893408134642352,3.0699896525250696,1.027773713633431,1.4079075616842944,Capão Redondo
rh,-10.469467215988786,12.952106621318372,16.90500060696427,-12.960050913226153,16.03328591444147,0.7203244596004302,80.78260869565217,70.30784534122563,17.557741992047447,17.909596406469642,Capão Redondo
